[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Mn (all spectra): 3535 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 27000
Query NIST Bibliographic Databases for
Mn (new window)
Mn Energy Levels
Mn Line Wavelengths and Classification
Mn Transition Probabilities
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                  Observed  |                    Ritz    |   Rel. |    Aki    | Acc. |          Ei           Ek          |             Lower level             |              Upper level              |  gi   gk  |   Type|         TP  |           Line  |
          |                 Wavelength |                 Wavelength |   Int. |    s^-1   |      |        (cm-1)       (cm-1)        |-------------------------------------|---------------------------------------|           |       |        Ref. |           Ref.  |
          |                  Air (nm)  |                  Air (nm)  |   (?)  |           |      |                                   | Conf.                | Term  | J    | Conf.                  | Term  | J    |           |       |             |                 |
Mn II     |                206.4043    |                206.40436   |     15 |           |      |    30679.51     -     79112.62    | 3d6                  | a 3H  | 5    | 3d5.(2I).4p            | z 1H* | 5    |  11 - 11  |       |             |           L562  |
Mn III    |                206.638     |                            |    500 |           |      |                                   |                      |       |      |                        |       |      |           |       |             |           L457  |
          |                            |                            |        |           |      |                                   |                      |       |      |                        |       |      |           |       |             |                 |
Mn III    |                206.902     |                            |   1000 |           |      |                                   |                      |       |      |                        |       |      |           |       |             |           L457  |
Mn II     |                207.3584    |                207.35836   |      2 |           |      |    37851.49     -     86061.80    | 3d6                  | a 3D  | 3    | 3d5.(a 2F).4p          | y 1F* | 3    |   7 - 7   |       |             |           L562  |
Mn II     |                207.497     |                207.5001    |      5 |           |      |    46903.32     -     95080.71    | 3d5.(2D).4s          | b 1D  | 2    | 3d5.(2S).4p            | y 1P* | 1    |   5 - 3   |       |             |           L562  |
Mn II     |                207.6210    |                207.6217    |    300 | 1.2e+08   | D    |    38720.26     -     86869.44    | 3d6                  | a 1I  | 6    | 3d5.(2H).4p            | y 1I* | 6    |  13 - 13  |       |         c88 |           L562  |
Mn II     |                207.666     |                207.66743   |      3 |           |      |    31662.04     -     79800.61    | 3d6                  | a 3F  | 3    | 3d5.(2I).4p            | y 3H* | 4    |   7 - 9   |       |             |           L562  |
          |                            |                            |        |           |      |                                   |                      |       |      |                        |       |      |           |       |             |                 |
Mn II     |                207.6946    |                207.69552   |     15 |           |      |    33147.71     -     81279.77    | 3d5.(4G).4s          | a 3G  | 5    | 3d5.(a 2F).4p          | z 1G* | 4    |  11 - 9   |       |             |           L562  |
Mn III    |                207.738     |                            |    900 |           |      |                                   |                      |       |      |                        |       |      |           |       |             |           L457  |
Mn III    |                207.813     |                            |    300 |           |      |                                   |                      |       |      |                        |       |      |           |       |             |           L457  |
Mn II     |                207.969     |                207.96948   |      5 |           |      |    34762.098    -     82830.76    | 3d6                  | b 3G  | 5    | 3d5.(a 2F).4p          | w 3F* | 4    |  11 - 9   |       |             |           L562  |
Mn II     |                208.130     |                208.13011   |     20 |           |      |    39826.91     -     87858.48    | 3d5.(4D).4s          | b 3D  | 1    | 3d5.(a 2G).4p          | u 3F* | 2    |   3 - 5   |       |             |           L562  |
          |                            |                            |        |           |      |                                   |                      |       |      |                        |       |      |           |       |             |                 |
Mn II     |                208.1548    |                208.15719   |     20 |           |      |    34910.77     -     82936.09    | 3d6                  | b 3G  | 4    | 3d5.(a 2F).4p          | w 3F* | 3    |   9 - 7   |       |             |           L562  |
Mn III    |                208.423     |                            |    800 |           |      |                                   |                      |       |      |                        |       |      |           |       |             |           L457  |
Mn II     |                208.476     |                208.4766    |    100 | 4.2e+07   | D    |    30523.71     -     78475.47    | 3d6                  | a 3H  | 6    | 3d5.(2I).4p            | z 3I* | 7    |  13 - 15  |       |         c88 |           L562  |
Mn II     |                208.614     |                208.61479   |     10 |           |      |    34910.77     -     82830.76    | 3d6                  | b 3G  | 4    | 3d5.(a 2F).4p          | w 3F* | 4    |   9 - 9   |       |             |           L562  |
Mn II     |                208.645     |                208.64523   |      2 |           |      |    35004.79     -     82917.79    | 3d6                  | b 3G  | 3    | 3d5.(a 2F).4p          | w 3F* | 2    |   7 - 5   |       |             |           L562  |
          |                            |                            |        |           |      |                                   |                      |       |      |                        |       |      |           |       |             |                 |
Mn II     |                208.684     |                208.68487   |    30* |           |      |    39813.76     -     87717.66    | 3d5.(4D).4s          | b 3D  | 2    | 3d5.(a 2G).4p          | u 3F* | 3    |   5 - 7   |       |             |           L562  |
Mn II     |                208.684     |                208.6863    |   30i* |           |      |    36364.64     -     84268.21    | 3d5.(4P).4s          | b 3P  | 1    | 3d5.(a 2D).4p          | z 1P* | 1    |   3 - 3   |       |             |           L562  |
Mn II     |                208.891     |                208.8924    |     40 | 7.e+07    | D    |    43528.661    -     91384.98    | 3d5.(4F).4s          | a 5F  | 5    | 3d4.(5D).4s.4p.(3P*)   | w 5F* | 5    |  11 - 11  |       |         c88 |           L562  |
Mn II     |                208.929     |                208.9296    |     10 |           |      |    43537.186    -     91384.98    | 3d5.(4F).4s          | a 5F  | 4    | 3d4.(5D).4s.4p.(3P*)   | w 5F* | 5    |   9 - 11  |       |             |           L562  |
Mn III    |                209.005     |                            |    600 |           |      |                                   |                      |       |      |                        |       |      |           |       |             |           L457  |
          |                            |                            |        |           |      |                                   |                      |       |      |                        |       |      |           |       |             |                 |
Mn III    |                209.025     |                            |    300 |           |      |                                   |                      |       |      |                        |       |      |           |       |             |           L457  |
Mn I      |                209.216     |                            |   1500 |           |      |                                   |                      |       |      |                        |       |      |           |       |             |          L3475  |
