[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Sr (all spectra): 1069 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 29000
Query NIST Bibliographic Databases for
Sr (new window)
Sr Energy Levels
Sr Line Wavelengths and Classification
Sr Transition Probabilities
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |               Observed  |                   Ritz    |   Rel. |    Aki    | Acc. |        Ei           Ek         |              Lower level               |              Upper level               |  gi   gk  |   Type|         TP  |    Line  |
          |              Wavelength |                Wavelength |   Int. |    s^-1   |      |      (cm-1)       (cm-1)       |----------------------------------------|----------------------------------------|           |       |        Ref. |    Ref.  |
          |               Air (nm)  |                 Air (nm)  |   (?)  |           |      |                                | Conf.                | Term     | J    | Conf.                | Term     | J    |           |       |             |          |
Sr V      |             205.7640    |               205.7640    |      6 |           |      | 291835.57     -  340419.40     | 4s2.4p3.(2D*).5s     | 3D*      | 3    | 4s2.4p3.(2D*).5p     | 3F       | 4    |   7 - 9   |       |             |   L6378  |
Sr IV     |             206.1881    |               206.1881    |     24 |           |      | 329068.54     -  377552.45     | 4s2.4p4.(3P<2>).5d   | 2[4]     | 9/2  | 4s2.4p4.(3P<2>).5f   | 2[5]*    | 11/2 |  10 - 12  |       |             |   L4311  |
Sr IV     |             206.3182    |               206.3190    |     18 |           |      | 329068.54     -  377521.69     | 4s2.4p4.(3P<2>).5d   | 2[4]     | 9/2  | 4s2.4p4.(3P<2>).5f   | 2[4]*    | 9/2  |  10 - 10  |       |             |   L4311  |
Sr IV     |             206.3631    |               206.3634    |     30 |           |      | 343266.68     -  391709.40     | 4s2.4p4.(3P).4f      | 4G*      | 7/2  | 4s2.4p4.(3P<1>).5g   | 2[4]     | 9/2  |   8 - 10  |       |             |   L4311  |
Sr IV     |             206.8194    |               206.8189    |     20 |           |      | 343520.46     -  391856.50     | 4s2.4p4.(3P).4f      | 4G*      | 5/2  | 4s2.4p4.(3P<0>).5g   | 2[4]     | 7/2  |   6 - 8   |       |             |   L4311  |
          |                         |                           |        |           |      |                                |                      |          |      |                      |          |      |           |       |             |          |
Sr III    |             206.8634    |               206.8637    |     50 |           |      | 180213.47     -  228539.04     | 4p5.(2P*<3/2>).4d    | 2[3/2]*  | 2    | 4p5.(2P*<3/2>).5p    | 2[3/2]   | 2    |   5 - 5   |       |             |   L1771  |
Sr V      |             207.1807    |               207.1802    |     20 |           |      | 291678.41     -  339930.18     | 4s2.4p3.(2D*).4d     | 1F*      | 3    | 4s2.4p3.(2D*).5p     | 3D       | 3    |   7 - 7   |       |             |   L6378  |
Sr III    |             207.3341    |               207.3334    |   50bl |           |      | 221795.40     -  270011.52     | 4p5.(2P*<3/2>).5p    | 2[1/2]   | 1    | 4p5.(2P*<3/2>).5d    | 2[3/2]*  | 2    |   3 - 5   |       |             |   L1771  |
Sr IV     |             207.4423    |               207.4428    |     20 |           |      | 343520.46     -  391711.14     | 4s2.4p4.(3P).4f      | 4G*      | 5/2  | 4s2.4p4.(3P<1>).5g   | 2[4]     | 7/2  |   6 - 8   |       |             |   L4311  |
Sr IV     |             207.7012    |               207.7019    |     14 |           |      | 279165.72     -  327296.31     | 4s2.4p4.(3P<1>).5p   | 2[2]*    | 5/2  | 4s2.4p4.(3P<2>).5d   | 2[2]     | 5/2  |   6 - 6   |       |             |   L3647  |
