[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Ca (all spectra): 529 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 14000
Query NIST Bibliographic Databases for
Ca (new window)
Ca Energy Levels
Ca Line Wavelengths and Classification
Ca Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |               Observed  |                  Ritz    |       Rel. |    Aki    | Acc. |         Ei           Ek         |              Lower level              |              Upper level               |  gi   gk  |   Type|             TP  |      Line  |
          |              Wavelength |               Wavelength |       Int. |    s^-1   |      |       (cm-1)       (cm-1)       |---------------------------------------|----------------------------------------|           |       |            Ref. |      Ref.  |
          |               Air (nm)  |                Air (nm)  |       (?)  |           |      |                                 | Conf.                 | Term    | J   | Conf.                 | Term     | J   |           |       |                 |            |
          |                         |                          |            |           |      |                                 |                       |         |     |                       |          |     |           |       |                 |            |
Ca III    |              213.3953   |               213.39506  |       2500 | 6.1e+08   | B    | 278621.01      -  325467.67     | 3s2.3p5.4p            | 3D      | 1   | 3s2.3p5.(2P*<3/2>).4d | 2[5/2]*  | 2   |   3 - 5   |       |             u33 |      L262  |
Ca III    |              213.6840   |               213.68401  |        180 |           |      | 281139.55      -  327922.87     | 3s2.3p5.4p            | 1P      | 1   | 3s2.3p5.(2P*<3/2>).5s | 2[3/2]*  | 2   |   3 - 5   |       |                 |      L262  |
Ca III    |              213.9531   |               213.9529   |        400 |           |      | 281882.24      -  328606.78     | 3s2.3p5.4p            | 3P      | 2   | 3s2.3p5.(2P*<1/2>).4d | 2[3/2]*  | 2   |   5 - 5   |       |                 |      L262  |
Ca III    |              214.0359   |               214.0354   |       1900 | 8.4e+08   | B    | 281882.24      -  328588.76     | 3s2.3p5.4p            | 3P      | 2   | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]*  | 3   |   5 - 7   |       |             u33 |      L262  |
Ca III    |              214.0630   |               214.0643   |        210 |           |      | 281882.24      -  328582.45     | 3s2.3p5.4p            | 3P      | 2   | 3s2.3p5.(2P*<3/2>).5s | 2[3/2]*  | 1   |   5 - 3   |       |                 |      L262  |
          |                         |                          |            |           |      |                                 |                       |         |     |                       |          |     |           |       |                 |            |
Ca III    |              214.3747   |               214.3745   |        600 | 1.9e+07   | C    | 277022.40      -  323655.06     | 3s2.3p5.4p            | 3D      | 3   | 3s2.3p5.(2P*<3/2>).4d | 2[3/2]*  | 2   |   7 - 5   |       |             u33 |      L262  |
Ca III    |              214.9523   |               214.9524   |         48 |           |      | 282075.15      -  328582.45     | 3s2.3p5.4p            | 3P      | 0   | 3s2.3p5.(2P*<3/2>).5s | 2[3/2]*  | 1   |   1 - 3   |       |                 |      L262  |
Ca I      |              215.080    |               215.0795   |          2 | 6.1e+06   | C    |      0.000     -   46479.813    | 3p6.4s2               | 1S      | 0   | 3p6.4s.8p             | 1P*      | 1   |   1 - 3   |       |           T793n |     L6097  |
Ca III    |              215.2435   |               215.2430   |       4000 | 7.2e+08   | B    | 279741.80      -  326186.32     | 3s2.3p5.4p            | 1D      | 2   | 3s2.3p5.(2P*<3/2>).4d | 2[5/2]*  | 3   |   5 - 7   |       |             u33 |      L262  |
Ca III    |              216.0347   |               216.0353   |        600 |           |      | 277380.86      -  323655.06     | 3s2.3p5.4p            | 3D      | 2   | 3s2.3p5.(2P*<3/2>).4d | 2[3/2]*  | 2   |   5 - 5   |       |                 |      L262  |
          |                         |                          |            |           |      |                                 |                       |         |     |                       |          |     |           |       |                 |            |
Ca III    |              216.3416   |               216.34130  |        800 | 9.8e+07   | B    | 281882.24      -  328090.99     | 3s2.3p5.4p            | 3P      | 2   | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]*  | 2   |   5 - 5   |       |             u33 |      L262  |
Ca III    |              216.941    |               216.9464   |       130q |           |      | 281882.24      -  327962.11     | 3s2.3p5.4p            | 3P      | 2   | 3s2.3p5.(2P*<3/2>).4d | 2[3/2]*  | 1   |   5 - 3   |       |                 |      L262  |
Ca III    |              217.1322   |               217.13137  |        800 | 4.7e+07   | B    | 281882.24      -  327922.87     | 3s2.3p5.4p            | 3P      | 2   | 3s2.3p5.(2P*<3/2>).5s | 2[3/2]*  | 2   |   5 - 5   |       |             u33 |      L262  |
Ca III    |              217.1566   |               217.15628  |       1400 | 6.0e+08   | B    | 282571.43      -  328606.78     | 3s2.3p5.4p            | 3P      | 1   | 3s2.3p5.(2P*<1/2>).4d | 2[3/2]*  | 2   |   3 - 5   |       |             u33 |      L262  |
