[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Ni (all spectra): 972 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 8200
Query NIST Bibliographic Databases for
Ni (new window)
Ni Energy Levels
Ni Line Wavelengths and Classification
Ni Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                Observed  |                   Ritz    |  Rel. |    Aki    | Acc. |           Ei           Ek           |            Lower level             |              Upper level              |  gi   gk  |Type|         TP  |    Line  |
          |               Wavelength |                Wavelength |  Int. |    s^-1   |      |         (cm-1)       (cm-1)         |------------------------------------|---------------------------------------|           |    |        Ref. |    Ref.  |
          |                Air (nm)  |                 Air (nm)  |  (?)  |           |      |                                     | Conf.                | Term | J    | Conf.                | Term    | J    |           |    |             |          |
Ni I      |                          |                 212.4806  |       | 3.8e+07   | C    |     3409.937     -     50458.192    | 3d9.(2D).4s          | 1D   | 2    | 3d9.(2D).5p          | 1P*     | 1    |   5 - 3   |    |       T3861 |          |
Ni IV     |                          |                 212.508   |       | 4.5e-03   | E    |    20947.6       -     67989.8      | 3p6.3d7              | 2G   | 7/2  | 3p6.3d7              | 2D1     | 5/2  |   8 - 6   | M1 |       T4605 |          |
Ni IV     |                          |                 212.508   |       | 6.0e-01   | E    |    20947.6       -     67989.8      | 3p6.3d7              | 2G   | 7/2  | 3p6.3d7              | 2D1     | 5/2  |   8 - 6   | E2 |       T4605 |          |
Ni II     |                          |                 212.5117  |       | 6.4e+06   | C    |     9330.04      -     56371.41     | 3p6.3d8.(3F).4s      | 4F   | 7/2  | 3p6.3d8.(3F).4p      | 2G*     | 7/2  |   8 - 8   |    |      T1024n |          |
Ni XIII   |                212.550   |                 212.55+   |       | 2.6e+02   | E    |        0.0       -     47032.9      | 3s2.3p4              | 3P   | 2    | 3s2.3p4              | 1D      | 2    |   5 - 5   | M1 |       T4560 |  L11926  |
          |                          |                           |       |           |      |                                     |                      |      |      |                      |         |      |           |    |             |          |
Ni XIII   |                          |                 212.550   |       | 4.1e-01   | E    |        0.0       -     47032.9      | 3s2.3p4              | 3P   | 2    | 3s2.3p4              | 1D      | 2    |   5 - 5   | E2 |       T4560 |          |
Ni I      |                          |                 212.5626  |       | 5.1e+06   | C    |        0.000     -     47030.102    | 3d8.(3F).4s2         | 3F   | 4    | 3d8.(3P).4s.4p.(3P*) | 3D*     | 3    |   9 - 7   |    |       T3861 |          |
Ni II     |                          |                 212.5905  |       | 5.0e+06   | B    |     8393.90      -     55417.83     | 3p6.3d8.(3F).4s      | 4F   | 9/2  | 3p6.3d8.(3F).4p      | 4F*     | 7/2  |  10 - 8   |    |      T1024n |          |
Ni I      |                          |                 212.8410  |       | 5.6e+06   | C    |     2216.550     -     49185.138    | 3d8.(3F).4s2         | 3F   | 2    | 3d8.(3P).4s.4p.(3P*) | 1D*     | 2    |   5 - 5   |    |       T3861 |          |
