[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
S (all spectra): 1850 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 120
Query NIST Bibliographic Databases for
S (new window)
S Energy Levels
S Line Wavelengths and Classification
S Transition Probabilities
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                 Observed  |                   Ritz    |   Rel. |    Aki    | Acc. |          Ei           Ek          |           Lower level           |            Upper level            |  gi   gk  |Type|         TP  |               Line  |
          |                Wavelength |                Wavelength |   Int. |    s^-1   |      |        (cm-1)       (cm-1)        |---------------------------------|-----------------------------------|           |    |        Ref. |               Ref.  |
          |                 Air (nm)  |                 Air (nm)  |   (?)  |           |      |                                   | Conf.            | Term  | J    | Conf.              | Term  | J    |           |    |             |                     |
          |                           |                           |        |           |      |                                   |                  |       |      |                    |       |      |           |    |             |                     |
S IV      |                           |                210.28+    |        | 1.82e+07  | D    |   293310.8      -    340851.2     | 3s.3p.(3P*).4p   | 4D    | 1/2  | 3s.3p.(3P*).4d     | 4P*   | 1/2  |   2 - 2   |    |  T6527c4,LS |                     |
S IV      |                           |                210.96+    |        | 1.80e+07  | D    |   293463.1      -    340851.2     | 3s.3p.(3P*).4p   | 4D    | 3/2  | 3s.3p.(3P*).4d     | 4P*   | 1/2  |   4 - 2   |    |  T6527c4,LS |                     |
S II      |                210.9967   |                210.9980   |      1 |           |      |   109560.69     -    156939.50    | 3s2.3p2.(3P).4s  | 4P    | 1/2  | 3s2.3p2.(3P).5p    | 4D*   | 3/2  |   2 - 4   |    |             |              L5883  |
S IV      |                           |                211.02+    |        | 1.80e+06  | E    |   293310.8      -    340684.4     | 3s.3p.(3P*).4p   | 4D    | 1/2  | 3s.3p.(3P*).4d     | 4P*   | 3/2  |   2 - 4   |    |  T6527c4,LS |                     |
S III     |                           |                211.13+    |        | 4.86e+00  | D    |    11322.7      -     58671.92    | 3s2.3p2          | 1D    | 2    | 3s.3p3             | 5S*   | 2    |   5 - 5   |    |       T6959 |                     |
          |                           |                           |        |           |      |                                   |                  |       |      |                    |       |      |           |    |             |                     |
S II      |                211.1616   |                211.1616   |      1 |           |      |   109831.59     -    157173.69    | 3s2.3p2.(3P).4s  | 4P    | 3/2  | 3s2.3p2.(3P).5p    | 4D*   | 5/2  |   4 - 6   |    |             |              L5883  |
S V       |                211.3204   |                211.3228   |      0 |           |      |   420742.2      -    468048.2     | 3p.4s            | 3P*   | 0    | 3s.5d              | 3D    | 1    |   1 - 3   |    |             |              L5337  |
S II      |                211.3933   |                211.3935   |      1 |           |      |   110268.60     -    157558.77    | 3s2.3p2.(3P).4s  | 4P    | 5/2  | 3s2.3p2.(3P).5p    | 4D*   | 7/2  |   6 - 8   |    |             |              L5883  |
S IV      |                211.4900   |                211.4900   |      1 |           |      |   298010.3      -    345278.9     | 3s.3p.(3P*).4p   | 4P    | 5/2  | 3s.3p.(3P*).4d     | 2P*   | 3/2  |   6 - 4   |    |             |                u24  |
S II      |                211.6910   |                211.6901   |      2 |           |      |   114231.04     -    161454.96    | 3s2.3p2.(3P).3d  | 4D    | 5/2  | 3s2.3p2.(3P<2>).4f | 2[3]* | 7/2  |   6 - 8   |    |             |              L5883  |
