[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Cd (all spectra): 150 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 2000
Query NIST Bibliographic Databases for
Cd (new window)
Cd Energy Levels
Cd Line Wavelengths and Classification
Cd Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |             Observed  |           Ritz    |  Rel. |    Aki    | Acc. |      Ei           Ek      |       Lower level       |       Upper level        |  gi   gk  |Type|    TP  |      Line  |
          |            Wavelength |        Wavelength |  Int. |    s^-1   |      |    (cm-1)       (cm-1)    |-------------------------|--------------------------|           |    |   Ref. |      Ref.  |
          |             Air (nm)  |         Air (nm)  |  (?)  |           |      |                           | Conf.      | Term | J   | Conf.       | Term | J   |           |    |        |            |
          |                       |                   |       |           |      |                           |            |      |     |             |      |     |           |    |        |            |
Cd II     |            341.749    |                   |    50 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd II     |            344.242    |                   |    50 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd II     |            346.443    |                   |   100 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd I      |            346.61996  |        346.6200+  |  1000 | 1.2e+08   |      | 30656.087   -  59497.868  | 4d10.5s.5p | 3P*  | 1   | 4d10.5s.5d  | 3D   | 2   |   3 - 5   |    |  T3464 |     L3486  |
Cd I      |            346.76547  |        346.7654+  |   800 | 6.7e+07   |      | 30656.087   -  59485.768  | 4d10.5s.5p | 3P*  | 1   | 4d10.5s.5d  | 3D   | 1   |   3 - 3   |    |  T3464 |     L3486  |
          |                       |                   |       |           |      |                           |            |      |     |             |      |     |           |    |        |            |
Cd II     |            348.308    |                   |    25 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd II     |            349.544    |                   |   150 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd I      |            349.99518  |        349.9952+  |    25 |           |      | 30656.087   -  59219.734  | 4d10.5s.5p | 3P*  | 1   | 4d10.5s.5d  | 1D   | 2   |   3 - 5   |    |        |     L3486  |
Cd II     |            352.411    |                   |   100 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd II     |            353.569    |                   |   100 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
          |                       |                   |       |           |      |                           |            |      |     |             |      |     |           |    |        |            |
Cd I      |            361.05077  |        361.0509+  |  1000 | 1.3e+08   |      | 31826.952   -  59515.980  | 4d10.5s.5p | 3P*  | 2   | 4d10.5s.5d  | 3D   | 3   |   5 - 7   |    |  T3464 |     L3486  |
Cd I      |            361.28729  |        361.2872+  |   800 | 3.5e+07   |      | 31826.952   -  59497.868  | 4d10.5s.5p | 3P*  | 2   | 4d10.5s.5d  | 3D   | 2   |   5 - 5   |    |  T3464 |     L3486  |
Cd I      |            361.44529  |        361.4453+  |    60 |           |      | 31826.952   -  59485.768  | 4d10.5s.5p | 3P*  | 2   | 4d10.5s.5d  | 3D   | 1   |   5 - 3   |    |        |     L3486  |
Cd I      |            364.95584  |        364.9557+  |    20 |           |      | 31826.952   -  59219.734  | 4d10.5s.5p | 3P*  | 2   | 4d10.5s.5d  | 1D   | 2   |   5 - 5   |    |        |     L3486  |
Cd I      |            398.19257  |        398.1926+  |    10 |           |      | 43692.384   -  68798.760  | 4d10.5s.5p | 1P*  | 1   | 4d10.5s.9s  | 1S   | 0   |   3 - 1   |    |        |     L3486  |
          |                       |                   |       |           |      |                           |            |      |     |             |      |     |           |    |        |            |
Cd II     |            402.912    |                   |   100 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd II     |            413.477    |                   |   200 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd I      |            414.02988  |        414.0302+  |       | 4.7e+06   |      | 43692.384   -  67838.401  | 4d10.5s.5p | 1P*  | 1   | 4d10.5s.7d  | 1D   | 2   |   3 - 5   |    |  T3464 |  L3486c92  |
Cd II     |            414.149    |                   |    50 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd II     |            428.508    |                   |   100 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
          |                       |                   |       |           |      |                           |            |      |     |             |      |     |           |    |        |            |
Cd I      |            430.66718  |        430.6672+  |     8 |           |      | 43692.384   -  66905.641  | 4d10.5s.5p | 1P*  | 1   | 4d10.5s.8s  | 1S   | 0   |   3 - 1   |    |        |     L3486  |
Cd II     |            441.241    |                   |   100 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd I      |            441.29894  |        441.2989+  |     3 |           |      | 30656.087   -  53310.101  | 4d10.5s.5p | 3P*  | 1   | 4d10.5s.6s  | 1S   | 0   |   3 - 1   |    |        |     L3486  |
Cd II     |            441.563    |                   |  1000 | 1.4e+06   |      |                           |            |      | 3/2 |             |      | 5/2 |   4 - 6   |    |  T3464 |     L3540  |
Cd II     |            444.045    |                   |    30 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
          |                       |                   |       |           |      |                           |            |      |     |             |      |     |           |    |        |            |
Cd I      |            466.23520  |        466.2352+  |     8 | 5.5e+06   |      | 43692.384   -  65134.783  | 4d10.5s.5p | 1P*  | 1   | 4d10.5s.6d  | 1D   | 2   |   3 - 5   |    |  T3464 |     L3486  |
Cd I      |            467.81493  |        467.8150+  |   200 | 1.3e+07   |      | 30113.990   -  51483.980  | 4d10.5s.5p | 3P*  | 0   | 4d10.5s.6s  | 3S   | 1   |   1 - 3   |    |  T3464 |     L3486  |
Cd II     |            474.469    |                   |    30 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd I      |            479.99123  |        479.9912+  |   300 | 4.1e+07   |      | 30656.087   -  51483.980  | 4d10.5s.5p | 3P*  | 1   | 4d10.5s.6s  | 3S   | 1   |   3 - 3   |    |  T3464 |     L3486  |
Cd II     |            488.172    |                   |    50 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
          |                       |                   |       |           |      |                           |            |      |     |             |      |     |           |    |        |            |
Cd II     |            502.550    |                   |    50 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd I      |            508.58217  |        508.5821+  | 1000w | 5.6e+07   |      | 31826.952   -  51483.980  | 4d10.5s.5p | 3P*  | 2   | 4d10.5s.6s  | 3S   | 1   |   5 - 3   |    |  T3464 |     L3486  |
Cd I      |            515.46605  |        515.4662+  |     6 |           |      | 43692.384   -  63086.896  | 4d10.5s.5p | 1P*  | 1   | 4d10.5s.7s  | 1S   | 0   |   3 - 1   |    |        |     L3486  |
Cd II     |            526.801    |                   |   100 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
