[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
V (all spectra): 1310 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 12000
Query NIST Bibliographic Databases for
V (new window)
V Energy Levels
V Line Wavelengths and Classification
V Transition Probabilities
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                Observed  |                  Ritz    |  Rel. |    Aki    | Acc. |          Ei           Ek          |             Lower level             |              Upper level               |  gi   gk  |Type|         TP  |          Line  |
          |               Wavelength |               Wavelength |  Int. |    s^-1   |      |        (cm-1)       (cm-1)        |-------------------------------------|----------------------------------------|           |    |        Ref. |          Ref.  |
          |                Air (nm)  |                Air (nm)  |  (?)  |           |      |                                   | Conf.                | Term  | J    | Conf.                  | Term   | J    |           |    |             |                |
V III     |                234.310   |                234.3136  |   500 | 3.6e+08   | D    |    56160.42     -     98825.19    | 3d2.(1D).4s          | c 2D  | 5/2  | 3d2.(1D).4p            | y 2F*  | 7/2  |   6 - 8   |    |      T3396n |         L4746  |
V III     |                          |                234.6325  |       | 8.2e+07   | D    |    44110.04     -     86716.84    | 3d2.(3F).4s          | b 4F  | 5/2  | 3d2.(3F).4p            | z 4F*  | 3/2  |   6 - 4   |    |      T3396n |                |
V III     |                          |                234.7130  |       | 7.3e+07   | D    |    44345.82     -     86938.01    | 3d2.(3F).4s          | b 4F  | 7/2  | 3d2.(3F).4p            | z 4F*  | 5/2  |   8 - 6   |    |      T3396n |                |
V III     |                          |                234.8245  |       | 4.5e+07   | D    |    44646.96     -     87218.92    | 3d2.(3F).4s          | b 4F  | 9/2  | 3d2.(3F).4p            | z 4F*  | 7/2  |  10 - 8   |    |      T3396n |                |
V IV      |                235.1934  |                235.19+   |     5 |           |      |   263822.4      -    306327.7     | 3p6.3d.4f            | 3G*   | 4    | 3p6.3d.(2D<3/2>).5g    | 2[7/2] | 4    |   9 - 9   |    |             |        L11926  |
          |                          |                          |       |           |      |                                   |                      |       |      |                        |        |      |           |    |             |                |
V IV      |                235.3639  |                235.36+   |     3 |           |      |   264401.9      -    306876.3     | 3p6.3d.4f            | 3H*   | 4    | 3p6.3d.(2D<5/2>).5g    | 2[9/2] | 4    |   9 - 9   |    |             |        L11926  |
V IV      |                          |                235.432   |       | 1.2e-02   | E    |        0.0      -     42462.1     | 3p6.3d2              | 3F    | 2    | 3p6.3d2                | 1S     | 0    |   5 - 1   | E2 |       T1610 |                |
V IV      |                235.6369  |                235.64+   |    10 |           |      |   263902.3      -    306327.7     | 3p6.3d.4f            | 3G*   | 3    | 3p6.3d.(2D<3/2>).5g    | 2[7/2] | 4    |   7 - 9   |    |             |        L11926  |
V IV      |                235.6624  |                235.66+   |     5 |           |      |   263902.3      -    306323.1     | 3p6.3d.4f            | 3G*   | 3    | 3p6.3d.(2D<3/2>).5g    | 2[7/2] | 3    |   7 - 7   |    |             |        L11926  |
V III     |                235.873   |                235.8732  |   500 | 4.2e+08   | D    |    49327.74     -     91710.43    | 3d2.(3F).4s          | b 2F  | 5/2  | 3d2.(3F).4p            | z 2G*  | 7/2  |   6 - 8   |    |      T3396n |         L4746  |
          |                          |                          |       |           |      |                                   |                      |       |      |                        |        |      |           |    |             |                |
V IV      |                236.4512  |                236.45+   |     1 |           |      |   264591.9      -    306871.0     | 3p6.3d.4f            | 3H*   | 5    | 3p6.3d.(2D<5/2>).5g    | 2[9/2] | 5    |  11 - 11  |    |             |        L11926  |
V III     |                236.631   |                236.6294  |   500 | 4.2e+08   | D    |    49805.29     -     92052.55    | 3d2.(3F).4s          | b 2F  | 7/2  | 3d2.(3F).4p            | z 2G*  | 9/2  |   8 - 10  |    |      T3396n |         L4746  |
V V       |                237.0260  |                237.03+   |     3 |           |      |   450025.20     -    492201.8     | 3p6.6g               | 2G    | 9/2  | 3p6.9f                 | 2F*    | 7/2  |  10 - 8   |    |             |        L11926  |
V III     |                237.106   |                237.1056  |  2500 | 5.2e+08   | D    |    44646.96     -     86809.39    | 3d2.(3F).4s          | b 4F  | 9/2  | 3d2.(3F).4p            | z 4G*  | 11/2 |  10 - 12  |    |      T3396n |         L4746  |
V III     |                          |                237.3062  |       | 2.9e+08   | D    |    56256.75     -     98383.53    | 3d2.(1D).4s          | c 2D  | 3/2  | 3d2.(1D).4p            | y 2F*  | 5/2  |   4 - 6   |    |      T3396n |                |
          |                          |                          |       |           |      |                                   |                      |       |      |                        |        |      |           |    |             |                |
V V       |                237.3458  |                237.35+   |     1 |           |      |   450024.54     -    492144.3     | 3p6.6g               | 2G    | 7/2  | 3p6.9f                 | 2F*    | 5/2  |   8 - 6   |    |             |        L11926  |
V IV      |                237.8290  |                237.83+   |     1 | 4.1e+07   | D    |   223033.0      -    265067.4     | 3p6.3d.4d            | 3F    | 3    | 3p6.3d.4f              | 3D*    | 2    |   7 - 5   |    |       T2757 |        L11926  |
V IV      |                238.1712  |                238.17+   |    10 |           |      |   264902.2      -    306876.3     | 3p6.3d.4f            | 1F*   | 3    | 3p6.3d.(2D<5/2>).5g    | 2[9/2] | 4    |   7 - 9   |    |             |        L11926  |
V III     |                238.246   |                238.2463  |  1000 | 5.0e+08   | D    |    44345.82     -     86306.40    | 3d2.(3F).4s          | b 4F  | 7/2  | 3d2.(3F).4p            | z 4G*  | 9/2  |   8 - 10  |    |      T3396n |         L4746  |
V II      |                238.400   |                          |    40 |           |      |                                   |                      |       |      |                        |        |      |           |    |             |         L3475  |
          |                          |                          |       |           |      |                                   |                      |       |      |                        |        |      |           |    |             |                |
V I       |                238.428   |                          |    40 |           |      |                                   |                      |       |      |                        |        |      |           |    |             |         L3475  |
V IV      |                238.4729  |                238.47+   |    10 |           |      |   264401.9      -    306323.1     | 3p6.3d.4f            | 3H*   | 4    | 3p6.3d.(2D<3/2>).5g    | 2[7/2] | 3    |   9 - 7   |    |             |        L11926  |
V I       |                238.696   |                          |    60 |           |      |                                   |                      |       |      |                        |        |      |           |    |             |         L3475  |
V IV      |                238.7663  |                238.77+   |     3 |           |      |   223033.0      -    264902.2     | 3p6.3d.4d            | 3F    | 3    | 3p6.3d.4f              | 1F*    | 3    |   7 - 7   |    |             |        L11926  |
V I       |                238.892   |                          |    60 |           |      |                                   |                      |       |      |                        |        |      |           |    |             |         L3475  |
          |                          |                          |       |           |      |                                   |                      |       |      |                        |        |      |           |    |             |                |
V I       |                239.087   |                          |    75 |           |      |                                   |                      |       |      |                        |        |      |           |    |             |         L3475  |
V I       |                239.126   |                          |    75 |           |      |                                   |                      |       |      |                        |        |      |           |    |             |         L3475  |
V I       |                239.290   |                          |    85 |           |      |                                   |                      |       |      |                        |        |      |           |    |             |         L3475  |
V III     |                239.358   |                239.3580  |   500 | 4.3e+08   | D    |    44110.04     -     85875.74    | 3d2.(3F).4s          | b 4F  | 5/2  | 3d2.(3F).4p            | z 4G*  | 7/2  |   6 - 8   |    |      T3396n |         L4746  |
V IV      |                239.5450  |                239.54+   |    10 | 7.6e+07   | D    |   215957.7      -    257690.8     | 3p6.3d.4d            | 1F    | 3    | 3p6.3d.5p              | 1F*    | 3    |   7 - 7   |    |       T2757 |        L11926  |
          |                          |                          |       |           |      |                                   |                      |       |      |                        |        |      |           |    |             |                |
V I       |                239.778   |                          |    70 |           |      |                                   |                      |       |      |                        |        |      |           |    |             |         L3475  |
V I       |                239.827   |                          |    70 |           |      |                                   |                      |       |      |                        |        |      |           |    |             |         L3475  |
