[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
P (all spectra): 266 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 950
Query NIST Bibliographic Databases for
P (new window)
P Energy Levels
P Line Wavelengths and Classification
P Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |              Observed  |                Ritz    |  Rel. |    Aki    | Acc. |        Ei           Ek        |         Lower level          |         Upper level          |  gi   gk  |Type|            TP  |   Line  |
          |             Wavelength |             Wavelength |  Int. |    s^-1   |      |      (cm-1)       (cm-1)      |------------------------------|------------------------------|           |    |           Ref. |   Ref.  |
          |              Air (nm)  |              Air (nm)  |  (?)  |           |      |                               | Conf.           | Term | J   | Conf.           | Term | J   |           |    |                |         |
P II      |                        |              440.2104  |       | 2.5e+07   | D    |  105224.06    -   127934.09   | 3s2.3p.4p       | 3P   | 0   | 3s2.3p.4d       | 3P*  | 1   |   1 - 3   |    |     T1619CA,LS |         |
P II      |                        |              441.7337  |       | 1.9e+07   | D    |  105302.37    -   127934.09   | 3s2.3p.4p       | 3P   | 1   | 3s2.3p.4d       | 3P*  | 1   |   3 - 3   |    |     T1619CA,LS |         |
P II      |              442.071   |              442.0712  |   400 | 1.6e+08   | D    |   88893.22    -   111507.66   | 3s2.3p.4s       | 1P*  | 1   | 3s2.3p.4p       | 1S   | 0   |   3 - 1   |    |        T1619CA |  L3986  |
P II      |                        |              442.4091  |       | 7.3e+07   | D    |  105302.37    -   127899.54   | 3s2.3p.4p       | 3P   | 1   | 3s2.3p.4d       | 3P*  | 0   |   3 - 1   |    |     T1619CA,LS |         |
P III     |              442.8171  |                        |   200 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L4134  |
          |                        |                        |       |           |      |                               |                 |      |     |                 |      |     |           |    |                |         |
P II      |              445.246   |                        |   100 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L3986  |
P II      |              446.300   |                        |   150 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L3986  |
P III     |              446.3668  |                        |   200 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L4134  |
P II      |                        |              446.6140  |       | 3.1e+07   | D    |  105549.67    -   127934.09   | 3s2.3p.4p       | 3P   | 2   | 3s2.3p.4d       | 3P*  | 1   |   5 - 3   |    |     T1619CA,LS |         |
P II      |              446.798   |                        |   120 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L3986  |
          |                        |                        |       |           |      |                               |                 |      |     |                 |      |     |           |    |                |         |
P II      |              447.526   |              447.5270  |   200 | 1.3e+08   | D    |  105549.67    -   127888.42   | 3s2.3p.4p       | 3P   | 2   | 3s2.3p.4d       | 3D*  | 3   |   5 - 7   |    |     T1619CA,LS |  L3986  |
P III     |              447.9776  |                        |   250 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L4134  |
P II      |              449.924   |              449.9230  |   200 | 1.4e+08   | D    |  107922.93    -   130142.72   | 3s2.3p.4p       | 1D   | 2   | 3s2.3p.4d       | 1F*  | 3   |   5 - 7   |    |        T1619CA |  L3986  |
P XIII    |                        |              452       |       | 4.85e+06  | B    | 2849410       -  2871530      | 1s2.3p          | 2P*  | 3/2 | 1s2.3d          | 2D   | 5/2 |   4 - 6   |    |     T1619CA,LS |         |
