[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Ti (all spectra): 4528 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 21000
Query NIST Bibliographic Databases for
Ti (new window)
Ti Energy Levels
Ti Line Wavelengths and Classification
Ti Transition Probabilities
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                    Observed  |                      Ritz    |   Rel. |    Aki    | Acc. |            Ei           Ek            |                Lower level                |                Upper level                |  gi   gk  |   Type|          TP  |           Line  |
          |                   Wavelength |                   Wavelength |   Int. |    s^-1   |      |          (cm-1)       (cm-1)          |-------------------------------------------|-------------------------------------------|           |       |         Ref. |           Ref.  |
          |                    Air (nm)  |                    Air (nm)  |   (?)  |           |      |                                       | Conf.                 | Term       | J    | Conf.                 | Term       | J    |           |       |              |                 |
Ti II     |                  206.648     |                  206.649106  |     0: |           |      |    20951.7551     -     69327.5102    | 3d3                   | b 2F       | 5/2  | 3d.(2D).4s.4p.(1P*)   | v 2D*      | 3/2  |   6 - 4   |       |              |          L5432  |
Ti I      |                  206.66438   |                  206.66439   |      4 |           |      |      170.1328     -     48542.31      | 3d2.4s2               | a 3F       | 3    | 3d2.4s.(2F).5p        | 3G*        | 3    |   7 - 7   |       |              |         L10989  |
          |                              |                              |        |           |      |                                       |                       |            |      |                       |            |      |           |       |              |                 |
Ti II     |                  206.670     |                  206.669761  |     0: |           |      |    34543.3799     -     82914.301     | 3d2.(3F).4p           | z 2G*      | 7/2  | 3d2.(3F).6s           | 4F         | 5/2  |   8 - 6   |       |              |          L5432  |
Ti XVII   |                              |                  206.7       |        | 8.5e-02   | D    |  1271380          -   1319740         | 2p4                   | 3P         | 2    | 2p4                   | 3P         | 0    |   5 - 1   | E2    |    T3827,u14 |                 |
Ti IV     |                  206.7564    |                  206.756+    |     20 | 5.1e+08   | D    |    80388.92       -    128739.59      | 3p6.4s                | 2S         | 1/2  | 3p6.4p                | 2P*        | 3/2  |   2 - 4   |       |        T2757 |   L2753,L11926  |
Ti II     |                  206.84504   |                  206.845051  |     18 |           |      |    25192.9650     -     73522.8997    | 3d.4s2                | c 2D       | 5/2  | 3d2.(3F).5p           | 2F*        | 5/2  |   6 - 6   |       |              |            u37  |
Ti II     |                  206.931     |                  206.930278  |     0: |           |      |    34748.5062     -     83058.538     | 3d2.(3F).4p           | z 2G*      | 9/2  | 3d2.(3F).6s           | 4F         | 7/2  |  10 - 8   |       |              |          L5432  |
          |                              |                              |        |           |      |                                       |                       |            |      |                       |            |      |           |       |              |                 |
Ti I      |                  206.98398   |                  206.98412   |      1 |           |      |      386.874      -     48684.340     | 3d2.4s2               | a 3F       | 4    | 3d2.4s.(2F).5p        | 3G*        | 4    |   9 - 9   |       |              |         L10989  |
Ti I      |                  207.21857   |                  207.218652  |     2* |           |      |      170.1328     -     48412.9432    | 3d2.4s2               | a 3F       | 3    | 3d2.4s.(4F<9/2>).4f   | 2[7/2]*    | 4    |   7 - 9   |       |              |         L10989  |
Ti I      |                  207.21857   |                  207.218734  |     2* |           |      |        0.000      -     48242.7911    | 3d2.4s2               | a 3F       | 2    | 3d2.4s.(4F<7/2>).4f   | 2[3/2]*    | 2    |   5 - 5   |       |              |         L10989  |
Ti II     |                  208.257     |                  208.257361  |     0: |           |      |     4628.6571     -     52630.881     | 3d2.(3F).4s           | a 2F       | 5/2  | 3d.(2D).4s.4p.(3P*)   | 4D*        | 5/2  |   6 - 6   |       |              |          L5432  |
Ti II     |                  208.948     |                  208.949500  |     0: |           |      |     4628.6571     -     52471.895     | 3d2.(3F).4s           | a 2F       | 5/2  | 3d.(2D).4s.4p.(3P*)   | 4F*        | 5/2  |   6 - 6   |       |              |          L5432  |
          |                              |                              |        |           |      |                                       |                       |            |      |                       |            |      |           |       |              |                 |
Ti II     |                  209.004     |                  209.004113  |     0: |           |      |     4628.6571     -     52459.395     | 3d2.(3F).4s           | a 2F       | 5/2  | 3d.(2D).4s.4p.(3P*)   | 4D*        | 3/2  |   6 - 4   |       |              |          L5432  |
Ti II     |                  209.106     |                  209.105613  |     0: |           |      |     4897.7179     -     52705.2416    | 3d2.(3F).4s           | a 2F       | 7/2  | 3d.(2D).4s.4p.(3P*)   | 4F*        | 7/2  |   8 - 8   |       |              |          L5432  |
Ti V      |                  209.1104    |                  209.11+     |    5bl |           |      |   443752.7        -    491558.7       | 3s2.3p5.4s            | 1P*        | 1    | 3s.3p6.3d             | 3D         | 2    |   3 - 5   |       |              |         L11926  |
Ti II     |                  209.430     |                  209.431407  |     0: |           |      |     4897.7179     -     52630.881     | 3d2.(3F).4s           | a 2F       | 7/2  | 3d.(2D).4s.4p.(3P*)   | 4D*        | 5/2  |   8 - 6   |       |              |          L5432  |
Ti II     |                  209.569     |                  209.571617  |     1: |           |      |     4628.6571     -     52329.889     | 3d2.(3F).4s           | a 2F       | 5/2  | 3d.(2D).4s.4p.(3P*)   | 4F*        | 3/2  |   6 - 4   |       |              |          L5432  |
          |                              |                              |        |           |      |                                       |                       |            |      |                       |            |      |           |       |              |                 |
Ti II     |                  209.58450   |                  209.584579  |      8 |           |      |    34543.3799     -     82241.662     | 3d2.(3F).4p           | z 2G*      | 7/2  | 3d2.(1G).4d           | 2F         | 5/2  |   8 - 6   |       |              |            u37  |
Ti II     |                  209.61411   |                  209.614137  |     13 |           |      |    25192.9650     -     72884.5221    | 3d.4s2                | c 2D       | 5/2  | 3d2.(3F).5p           | 2G*        | 7/2  |   6 - 8   |       |              |            u37  |
Ti III    |                  209.7299    |                  209.730+    |      9 | 3.3e+08   | D    |    81024.47       -    128689.67      | 3p6.3d.4p             | 3P*        | 2    | 3p6.3d.4d             | 3D         | 3    |   5 - 7   |       |        T1216 |         L11926  |
