[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Co (all spectra): 2891 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 610000
Query NIST Bibliographic Databases for
Co (new window)
Co Energy Levels
Co Line Wavelengths and Classification
Co Transition Probabilities
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                  Observed  |                    Ritz    |            Rel. |    Aki    | Acc. |          Ei           Ek          |               Lower level               |                Upper level                 |  gi   gk  |   Type|         TP  |             Line  |
          |                 Wavelength |                 Wavelength |            Int. |    s^-1   |      |        (cm-1)       (cm-1)        |-----------------------------------------|--------------------------------------------|           |       |        Ref. |             Ref.  |
          |                  Air (nm)  |                  Air (nm)  |            (?)  |           |      |                                   | Conf.                    | Term  | J    | Conf.                    | Term     | J    |           |       |             |                   |
Co II     |                205.0728    |                205.073600  |            1100 | 2.2e+05   | E    |      950.324    -     49697.683   | 3d8                      | a 3F  | 3    | 3d7.(4F).4p              | z 3F*    | 4    |   7 - 9   |       |       T6999 |        L4687c119  |
Co II     |                205.13461   |                205.134626  |             370 | 1.1e+07   | D    |    24411.479    -     73144.338   | 3d7.(4P).4s              | b 3P  | 0    | 3d7.(2D2).4p             | x 3P*    | 1    |   1 - 3   |       |       T6999 |        L9429c118  |
Co II     |                205.22852   |                205.228588  |             210 | 1.0e+07   | D    |    65154.041    -    113864.592   | 3d7.(2G).4p              | y 3G* | 4    | 3d7.(2H).4d              | 1H       | 5    |   9 - 11  |       |       T6999 |        L9429c118  |
Co III    |                205.311     |                            |             200 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |            L3537  |
Co II     |                205.40820   |                205.40810   |    1000bl(Co I) | 2.5e+06   | E    |    56010.475    -    104678.460   | 3d7.(4P).4p              | z 5S* | 2    | 3d7.(2P).5s              | 3P       | 1    |   5 - 3   |       |       T6999 |        L9429c118  |
          |                            |                            |                 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |                   |
Co II     |                205.41586   |                205.415860  |            1800 | 5.1e+08   | C+   |    56010.475    -    104676.623   | 3d7.(4P).4p              | z 5S* | 2    | 3d7.(4P).4d              | 5P       | 2    |   5 - 5   |       |       T6999 |        L9429c118  |
Co II     |                205.5235    |                205.522909  |             270 |           |      |    50381.724    -     99022.528   | 3d7.(4F).4p              | z 3F* | 3    | 3d7.(4P).5s              | 5P       | 3    |   7 - 7   |       |             |        L4687c119  |
Co III    |                205.621     |                            |             100 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |            L3537  |
Co II     |                205.79411   |                205.79409   |            1100 | 5.4e+08   | C+   |    56010.475    -    104587.191   | 3d7.(4P).4p              | z 5S* | 2    | 3d7.(4P).4d              | 5P       | 1    |   5 - 3   |       |       T6999 |        L9429c118  |
Co II     |                205.84113   |                205.841106  |            1300 | 7.e+07    | D    |    64401.359    -    112966.982   | 3d7.(2G).4p              | z 1G* | 4    | 3d7.(2H).4d              | 1F       | 3    |   9 - 7   |       |       T6999 |        L9429c118  |
          |                            |                            |                 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |                   |
Co II     |                205.881690  |                205.881681  |            7900 | 9.7e+06   | B    |        0.000    -     48556.052   | 3d8                      | a 3F  | 4    | 3d7.(4F).4p              | z 3G*    | 5    |   9 - 11  |       |       T6854 |        L9429c118  |
Co III    |                206.217     |                            |              10 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |            L3537  |
Co II     |                206.378617  |                206.378613  |            7900 | 2.0e+07   | C+   |     1597.197    -     50036.348   | 3d8                      | a 3F  | 2    | 3d7.(4F).4p              | z 3G*    | 3    |   5 - 7   |       |       T6135 |        L9429c118  |
Co II     |                206.44566   |                206.44553   |             300 | 5.2e+07   | D    |    62440.078    -    110863.529   | 3d7.(4P).4p              | z 3S* | 1    | 3d7.(2P).4d              | 3P       | 0    |   3 - 1   |       |       T6999 |        L9429c118  |
Co II     |                206.46283   |                206.462988  |             320 | 2.9e+07   | D    |    62440.078    -    110859.436   | 3d7.(4P).4p              | z 3S* | 1    | 3d7.(2P).4d              | 3P       | 1    |   3 - 3   |       |       T6999 |        L9429c118  |
          |                            |                            |                 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |                   |
Co II     |                206.554189  |                206.554197  |           10000 | 1.48e+07  | C+   |      950.324    -     49348.304   | 3d8                      | a 3F  | 3    | 3d7.(4F).4p              | z 3G*    | 4    |   7 - 9   |       |       T6854 |        L9429c118  |
Co II     |                206.68327   |                206.683435  |             340 | 2.0e+07   | D    |    66017.647    -    114385.369   | 3d7.(2G).4p              | z 1F* | 3    | 3d7.(2D2).4d             | 1F       | 3    |   7 - 7   |       |       T6999 |        L9429c118  |
Co XXVI   |                            |                207         |                 |           |      |[72266000]       - [72314300]      | 1s.4s                    | 3S    | 1    | 1s.4p                    | 3P*      | 2    |   3 - 5   |       |             |           L11926  |
Co II     |                207.15371   |                207.153685  |             540 | 2.3e+07   | D    |    24886.400    -     73144.338   | 3d7.(2P).4s              | c 3P  | 2    | 3d7.(2D2).4p             | x 3P*    | 1    |   5 - 3   |       |       T6999 |        L9429c118  |
Co II     |                207.2025    |                207.204348  |            710d |           |      |    17771.507    -     66017.647   | 3d7.(4P).4s              | a 5P  | 3    | 3d7.(2G).4p              | z 1F*    | 3    |   7 - 7   |       |             |        L4687c119  |
          |                            |                            |                 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |                   |
Co II     |                207.34136   |                207.341506  |             280 | 2.2e+06   | D    |    64401.359    -    112615.589   | 3d7.(2G).4p              | z 1G* | 4    | 3d7.(4F).5d              | 5G       | 3    |   9 - 7   |       |       T6999 |        L9429c118  |
Co II     |                207.7387    |                207.743435  |            260d | 6.e+06    | D    |    65154.041    -    113275.001   | 3d7.(2G).4p              | y 3G* | 4    | 3d7.(2H).4d              | 3G       | 4    |   9 - 9   |       |       T6999 |        L4687c119  |
Co I      |                207.776     |                            |           1500w |           |      |                                   |                          |       |      |                          |          |      |           |       |             |            L3338  |
Co II     |                207.87889   |                207.879007  |       490bl(Ar) | 1.4e+06   | E    |    13260.688    -     61350.268   | 3d8                      | a 3P  | 2    | 3d7.(4P).4p              | y 5D*    | 1    |   5 - 3   |       |       T6999 |        L9429c118  |
Co II     |                207.90615   |                207.906174  |             290 | 1.1e+07   | D    |    62440.078    -    110523.375   | 3d7.(4P).4p              | z 3S* | 1    | 3d7.(2P).4d              | 3D       | 2    |   3 - 5   |       |       T6999 |        L9429c118  |
          |                            |                            |                 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |                   |
Co III    |                207.974     |                            |              10 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |            L3537  |
Co II     |                208.00561   |                208.00559   |             320 |           |      |    69356.240    -    117416.558   | 3d7.(2H).4p              | x 3G* | 3    | 3d7.(2D2).4d             | 1D       | 2    |   7 - 5   |       |             |        L9429c118  |
Co II     |                208.16837   |                208.16829   |             610 | 2.5e+07   | D    |    65408.365    -    113431.126   | 3d7.(2P).4p              | z 3P* | 2    | 3d7.(4F).5d              | 3P       | 1    |   5 - 3   |       |       T6999 |        L9429c118  |
Co II     |                208.267839  |                208.267844  |            6600 | 1.23e+08  | C+   |    25147.233    -     73147.041   | 3d7.(2G).4s              | b 1G  | 4    | 3d7.(2H).4p              | y 1G*    | 4    |   9 - 9   |       |       T6999 |        L9429c118  |
Co II     |                208.43716   |                208.437038  |             700 |           |      |    67524.021    -    115484.871   | 3d7.(2P).4p              | x 3D* | 3    | 3d7.(2H).4d              | 3F       | 4    |   7 - 9   |       |             |        L9429c118  |
          |                            |                            |                 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |                   |
Co II     |                208.49603   |                208.496094  |             380 | 1.4e+07   | D    |    65408.365    -    113355.633   | 3d7.(2P).4p              | z 3P* | 2    | 3d7.(2D2).4d             | 3F       | 3    |   5 - 7   |       |       T6999 |        L9429c118  |
Co I      |                208.567     |                            |             900 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |            L3338  |
Co II     |                208.74931   |                208.74897   |            200i | 1.3e+06   | E    |    65028.512    -    112917.704   | 3d7.(2P).4p              | z 3P* | 1    | 3d7.(4F).5d              | 5G       | 2    |   3 - 5   |       |       T6999 |        L9429c118  |
Co I      |                208.755     |                            |             900 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |            L3338  |
Co III    |                208.858     |                            |              15 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |            L3537  |
          |                            |                            |                 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |                   |
Co I      |                208.935     |                            |             900 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |            L3338  |
Co II     |                209.0214    |                209.021231  |             340 | 6.e+06    | D    |    25317.517    -     73144.338   | 3d7.(2P).4s              | c 3P  | 1    | 3d7.(2D2).4p             | x 3P*    | 1    |   3 - 3   |       |       T6999 |        L4687c119  |
Co III    |                209.051     |                            |              10 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |            L3537  |
Co II     |                209.08879   |                209.088836  |            1900 | 8.e+07    | D    |    66017.647    -    113829.007   | 3d7.(2G).4p              | z 1F* | 3    | 3d7.(2D2).4d             | 3G       | 4    |   7 - 9   |       |       T6999 |        L9429c118  |
Co II     |                209.10562   |                209.105747  |             280 | 5.e+05    | E    |        0.000    -     47807.493   | 3d8                      | a 3F  | 4    | 3d7.(4F).4p              | z 5G*    | 4    |   9 - 9   |       |       T6999 |        L9429c118  |
          |                            |                            |                 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |                   |
Co II     |                209.2799    |                209.27985   |            1000 | 1.3e+07   | D    |    24886.400    -     72654.127   | 3d7.(2P).4s              | c 3P  | 2    | 3d7.(2D2).4p             | y 1D*    | 2    |   5 - 5   |       |       T6999 |        L9429c118  |
Co I      |                209.340     |                            |             900 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |            L3338  |
Co II     |                209.38834   |                209.38807   |             260 | 7.e+05    | E    |    65174.661    -    112917.704   | 3d7.(2G).4p              | y 3G* | 3    | 3d7.(4F).5d              | 5G       | 2    |   7 - 5   |       |       T6999 |        L9429c118  |
Co II     |                209.42498   |                209.425228  |             350 | 8.e+05    | E    |     4950.062    -     52684.634   | 3d7.(4F).4s              | a 5F  | 2    | 3d7.(4F).4p              | z 3D*    | 1    |   5 - 3   |       |       T6999 |        L9429c118  |
Co I      |                209.486     |                            |             900 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |            L3338  |
          |                            |                            |                 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |                   |
Co II     |                209.49928   |                209.499189  |             170 | 5.1e+06   | D    |    67209.258    -    114926.979   | 3d7.(2P).4p              | z 1D* | 2    | 3d7.(2D2).4d             | 3G       | 3    |   5 - 7   |       |       T6999 |        L9429c118  |
Co I      |                209.577     |                            |             900 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |            L3338  |
Co II     |                209.71376   |                209.713620  |             340 | 7.e+05    | E    |     4560.789    -     52229.725   | 3d7.(4F).4s              | a 5F  | 3    | 3d7.(4F).4p              | z 3D*    | 2    |   7 - 5   |       |       T6999 |        L9429c118  |
Co I      |                209.751     |                            |            1200 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |            L3338  |
Co III    |                209.763     |                            |              10 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |            L3537  |
          |                            |                            |                 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |                   |
Co II     |                209.81872   |                209.81865   |             250 | 1.5e+07   | D    |    67209.258    -    114854.335   | 3d7.(2P).4p              | z 1D* | 2    | 3d7.(2D2).4d             | 3D       | 1    |   5 - 3   |       |       T6999 |        L9429c118  |
Co II     |                209.85476   |                209.854855  |            2400 | 4.1e+06   | D    |    17771.507    -     65408.365   | 3d7.(4P).4s              | a 5P  | 3    | 3d7.(2P).4p              | z 3P*    | 2    |   7 - 5   |       |       T6999 |        L9429c118  |
Co II     |                209.89191   |                209.891827  |             290 | 1.5e+07   | D    |    63865.170    -    111493.638   | 3d7.(4P).4p              | y 3D* | 1    | 3d7.(2P).4d              | 3F       | 2    |   3 - 5   |       |       T6999 |        L9429c118  |
Co II     |                209.9790    |                209.97842   |             340 |           |      |    64601.778    -    112210.61    | 3d7.(2G).4p              | y 3G* | 5    | 3d7.(4F).5d              | 5H       | 5    |  11 - 11  |       |             |        L4687c119  |
