[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
K (all spectra): 304 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 70
Query NIST Bibliographic Databases for
K (new window)
K Energy Levels
K Line Wavelengths and Classification
K Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                    Observed  |                     Ritz    |  Rel. |    Aki    | Acc. |           Ei           Ek          |            Lower level            |            Upper level            |  gi   gk  |   Type|            TP  |    Line  |
          |                   Wavelength |                  Wavelength |  Int. |    s^-1   |      |         (cm-1)       (cm-1)        |-----------------------------------|-----------------------------------|           |       |           Ref. |    Ref.  |
          |                    Air (nm)  |                   Air (nm)  |  (?)  |           |      |                                    | Conf.             | Term    | J   | Conf.             | Term    | J   |           |       |                |          |
K III     |                 290.336      |                290.336      |     4 | 1.33e+07  |      | 208687.8         -  243120.6       | 3s2.3p4.(3P).4s   | 4P      | 3/2 | 3s2.3p4.(3P).4p   | 2D*     | 5/2 |   4 - 6   |       |          T7942 |   L3491  |
K I       |                              |                292.75309    |       | 1.7e+03   | D'   |      0.0000      -   34148.4861    | 3p6.4s            | 2S      | 1/2 | 3p6.13p           | 2P*     | 3/2 |   2 - 4   |       |    T1619extrap |          |
K I       |                              |                292.75701    |       | 1.7e+03   | D'   |      0.0000      -   34148.0284    | 3p6.4s            | 2S      | 1/2 | 3p6.13p           | 2P*     | 1/2 |   2 - 2   |       |    T1619extrap |          |
K III     |                 293.845      |                293.845      |     5 | 4.24e+07  |      | 207421.9         -  241443.5       | 3s2.3p4.(3P).4s   | 4P      | 5/2 | 3s2.3p4.(3P).4p   | 4D*     | 5/2 |   6 - 6   |       |          T7942 |   L3491  |
          |                              |                             |       |           |      |                                    |                   |         |     |                   |         |     |           |       |                |          |
K I       |                              |                294.26696    |       | 2.4e+03   | D'   |      0.0000      -   33972.8148    | 3p6.4s            | 2S      | 1/2 | 3p6.12p           | 2P*     | 3/2 |   2 - 4   |       |    T1619extrap |          |
K I       |                              |                294.27223    |       | 2.4e+03   | D'   |      0.0000      -   33972.2064    | 3p6.4s            | 2S      | 1/2 | 3p6.12p           | 2P*     | 1/2 |   2 - 2   |       |    T1619extrap |          |
K III     |                 294.894      |                294.897      |     1 |           |      | 212725.4         -  246625.6       | 3s2.3p4.(3P).4s   | 2P      | 3/2 | 3s2.3p4.(3P).4p   | 4S*     | 3/2 |   4 - 4   |       |                |   L3398  |
K II      |                 295.088      |                             |     2 |           |      |                                    |                   |         |     |                   |         |     |           |       |                |   L3490  |
K III     |                 295.433      |                295.432      |     3 | 3.00e+07  |      | 208687.8         -  242526.7       | 3s2.3p4.(3P).4s   | 4P      | 3/2 | 3s2.3p4.(3P).4p   | 4D*     | 1/2 |   4 - 2   |       |          T7942 |   L3491  |
          |                              |                             |       |           |      |                                    |                   |         |     |                   |         |     |           |       |                |          |
K I       |                              |                296.32104    |       | 3.3e+03   | D'   |      0.0000      -   33737.3284    | 3p6.4s            | 2S      | 1/2 | 3p6.11p           | 2P*     | 3/2 |   2 - 4   |       |    T1619extrap |          |
K I       |                              |                296.32833    |       | 3.3e+03   | D'   |      0.0000      -   33736.4979    | 3p6.4s            | 2S      | 1/2 | 3p6.11p           | 2P*     | 1/2 |   2 - 2   |       |    T1619extrap |          |
K III     |                 298.620      |                298.621      |     5 | 1.18e+08  |      | 208687.8         -  242165.3       | 3s2.3p4.(3P).4s   | 4P      | 3/2 | 3s2.3p4.(3P).4p   | 4D*     | 3/2 |   4 - 4   |       |          T7942 |   L3491  |
K I       |                 299.2108     |                299.21179    |     a | 3.15e+03  |      |      0.0000      -   33411.3986    | 3p6.4s            | 2S      | 1/2 | 3p6.10p           | 2P*     | 3/2 |   2 - 4   |       |          T5436 |   L3287  |
K I       |                 299.2215     |                299.22225    |     a | 2.17e+03  |      |      0.0000      -   33410.2306    | 3p6.4s            | 2S      | 1/2 | 3p6.10p           | 2P*     | 1/2 |   2 - 2   |       |          T5436 |   L3287  |
          |                              |                             |       |           |      |                                    |                   |         |     |                   |         |     |           |       |                |          |
K III     |                 299.242      |                299.242      |     6 | 2.51e+08  |      | 207421.9         -  240829.9       | 3s2.3p4.(3P).4s   | 4P      | 5/2 | 3s2.3p4.(3P).4p   | 4D*     | 7/2 |   6 - 8   |       |          T7942 |   L3491  |
K III     |                 302.343      |                302.343      |     3 | 2.13e+08  |      | 209461.3         -  242526.7       | 3s2.3p4.(3P).4s   | 4P      | 1/2 | 3s2.3p4.(3P).4p   | 4D*     | 1/2 |   2 - 2   |       |          T7942 |   L3491  |
K II      |                 303.043      |                             |     2 |           |      |                                    |                   |         |     |                   |         |     |           |       |                |   L3490  |
K I       |                 303.4751     |                303.47619    |     a | 6.74e+03  |      |      0.0000      -   32941.9262    | 3p6.4s            | 2S      | 1/2 | 3p6.9p            | 2P*     | 3/2 |   2 - 4   |       |          T5436 |   L3287  |
K I       |                 303.4911     |                303.49207    |     a | 4.78e+03  |      |      0.0000      -   32940.2030    | 3p6.4s            | 2S      | 1/2 | 3p6.9p            | 2P*     | 1/2 |   2 - 2   |       |          T5436 |   L3287  |
          |                              |                             |       |           |      |                                    |                   |         |     |                   |         |     |           |       |                |          |
K II      |                 304.716      |                304.7123     |     2 | 1.92e+07  |      | 186383.8         -  219192.1       | 3p5.4p            | 3D      | 3   | 3p5.4d            | 3D*     | 2   |   7 - 5   |       |          T8304 |   L3490  |
K III     |                 305.207      |                305.202      |     6 | 1.85e+08  |      | 208687.8         -  241443.5       | 3s2.3p4.(3P).4s   | 4P      | 3/2 | 3s2.3p4.(3P).4p   | 4D*     | 5/2 |   4 - 6   |       |          T7942 |   L3491  |
K III     |                 305.684      |                305.684      |     5 | 1.18e+08  |      | 209461.3         -  242165.3       | 3s2.3p4.(3P).4s   | 4P      | 1/2 | 3s2.3p4.(3P).4p   | 4D*     | 3/2 |   2 - 4   |       |          T7942 |   L3491  |
K III     |                 306.125      |                306.125      |     3 | 1.31e+08  |      | 212725.4         -  245382.3       | 3s2.3p4.(3P).4s   | 2P      | 3/2 | 3s2.3p4.(3P).4p   | 2P*     | 1/2 |   4 - 2   |       |          T7942 |   L3491  |
K II      |                 306.218      |                306.2141     |     5 | 8.82e+08  |      | 183204.1         -  215851.5       | 3p5.4p            | 3S      | 1   | 3p5.4d            | 3P*     | 2   |   3 - 5   |       |          T8304 |   L3490  |
          |                              |                             |       |           |      |                                    |                   |         |     |                   |         |     |           |       |                |          |
K II      |                 307.500      |                307.5017     |     3 | 4.30e+07  |      | 186681.4         -  219192.1       | 3p5.4p            | 3D      | 2   | 3p5.4d            | 3D*     | 2   |   5 - 5   |       |          T8304 |   L3490  |
K I       |                 310.1791     |                310.1789     |     a | 1.62e+04  |      |      0.0000      -   32230.11      | 3p6.4s            | 2S      | 1/2 | 3p6.8p            | 2P*     | 3/2 |   2 - 4   |       |          T5436 |   L3287  |
K I       |                 310.2051     |                310.2046     |     a | 1.22e+04  |      |      0.0000      -   32227.44      | 3p6.4s            | 2S      | 1/2 | 3p6.8p            | 2P*     | 1/2 |   2 - 2   |       |          T5436 |   L3287  |
K II      |                 310.500      |                310.4998     |     6 | 4.97e+08  |      | 183204.1         -  215400.9       | 3p5.4p            | 3S      | 1   | 3p5.4d            | 3P*     | 1   |   3 - 3   |       |          T8304 |   L3490  |
K II      |                 314.275      |                314.2706     |     2 | 1.98e+08  |      | 183204.1         -  215014.6       | 3p5.4p            | 3S      | 1   | 3p5.(2P*<1/2>).5s | 2[1/2]* | 1   |   3 - 3   |       |          T8304 |   L3490  |
          |                              |                             |       |           |      |                                    |                   |         |     |                   |         |     |           |       |                |          |
K II      |                 315.715      |                315.7137     |     2 | 2.73e+07  |      | 187527.0         -  219192.1       | 3p5.4p            | 3D      | 1   | 3p5.4d            | 3D*     | 2   |   3 - 5   |       |          T8304 |   L3490  |
K II      |                 317.181      |                317.1812     |     2 | 1.09e+08  |      | 183204.1         -  214722.7       | 3p5.4p            | 3S      | 1   | 3p5.(2P*<1/2>).5s | 2[1/2]* | 0   |   3 - 1   |       |          T8304 |   L3490  |
