[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Al (all spectra): 1038 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 4000
Query NIST Bibliographic Databases for
Al (new window)
Al Energy Levels
Al Line Wavelengths and Classification
Al Transition Probabilities
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                  Observed  |                    Ritz    |   Rel. |    Aki    | Acc. |           Ei           Ek           |              Lower level              |              Upper level               |  gi   gk  |Type|                 TP  |        Line  |
          |                 Wavelength |                 Wavelength |   Int. |    s^-1   |      |         (cm-1)       (cm-1)         |---------------------------------------|----------------------------------------|           |    |                Ref. |        Ref.  |
          |                  Air (nm)  |                  Air (nm)  |   (?)  |           |      |                                     | Conf.                 | Term    | J   | Conf.                 | Term    | J    |           |    |                     |              |
          |                            |                            |        |           |      |                                     |                       |         |     |                       |         |      |           |    |                     |              |
Al I      |                 208.915    |                 208.916    |    g,a |           |      |        0.000     -     47850.9      | 3s2.3p                | 2P*     | 1/2 | 3s2.16d               | 2D      | 3/2  |   2 - 4   |    |                     |  L130,L7413  |
Al III    |                            |                 208.9163   |        | 4.87e+07  | A    |   143633.38      -    191484.23     | 2p6.4p                | 2P*     | 1/2 | 2p6.6s                | 2S      | 1/2  |   2 - 2   |    |                 c32 |              |
Al I      |                 209.016    |                 209.013    |    g,a |           |      |      112.061     -     47940.7      | 3s2.3p                | 2P*     | 3/2 | 3s2.18d               | 2D      | 5/2  |   4 - 6   |    |                     |  L130,L7413  |
Al I      |                 209.170    |                 209.169    |    g,a |           |      |        0.000     -     47793.0      | 3s2.3p                | 2P*     | 1/2 | 3s2.15d               | 2D      | 3/2  |   2 - 4   |    |                     |  L130,L7413  |
Al I      |                 209.192    |                 209.191    |    g,a |           |      |      112.061     -     47900.1      | 3s2.3p                | 2P*     | 3/2 | 3s2.17d               | 2D      | 5/2  |   4 - 6   |    |                     |  L130,L7413  |
          |                            |                            |        |           |      |                                     |                       |         |     |                       |         |      |           |    |                     |              |
Al III    |                            |                 209.2667   |        | 9.73e+07  | A+   |   143713.50      -    191484.23     | 2p6.4p                | 2P*     | 3/2 | 2p6.6s                | 2S      | 1/2  |   4 - 2   |    |                 c32 |              |
Al I      |                 209.33     |                 209.3352   |      1 |           |      |    32436.796     -     80191.9      | 3s2.3d                | 2D      | 5/2 | 3s.3p.(3P*).5d        | 2D*     | 5/2  |   6 - 6   |    |                     |       L3514  |
Al I      |                 209.408    |                 209.407    |    g,a |           |      |      112.061     -     47850.9      | 3s2.3p                | 2P*     | 3/2 | 3s2.16d               | 2D      | 5/2  |   4 - 6   |    |                     |  L130,L7413  |
Al II     |                 209.4264   |                 209.4263   |    700 | 1.84e+08  | C+   |    95549.42      -    143283.75     | 3s.3d                 | 3D      | 3   | 3s.7f                 | 3F*     | 4    |   7 - 9   |    |          T6298c4,LS |       L4575  |
Al II     |                 209.4744   |                 209.4741   |    150 | 2.05e+07  | D    |    95549.42      -    143272.86     | 3s.3d                 | 3D      | 3   | 3s.7f                 | 3F*     | 3    |   7 - 7   |    |          T6298c4,LS |       L4575  |
          |                            |                            |        |           |      |                                     |                       |         |     |                       |         |      |           |    |                     |              |
Al II     |                 209.4790   |                 209.4789   |    300 | 1.64e+08  | C+   |    95550.51      -    143272.86     | 3s.3d                 | 3D      | 2   | 3s.7f                 | 3F*     | 3    |   5 - 7   |    |          T6298c4,LS |       L4575  |
Al I      |                 209.484    |                 209.483    |    g,a |           |      |        0.000     -     47721.3      | 3s2.3p                | 2P*     | 1/2 | 3s2.14d               | 2D      | 3/2  |   2 - 4   |    |                     |  L130,L7413  |
Al II     |                            |                 209.5049   |        | 8.10e+05  | E    |    95549.42      -    143265.83     | 3s.3d                 | 3D      | 3   | 3s.7f                 | 3F*     | 2    |   7 - 5   |    |          T6298c4,LS |              |
Al II     |                 209.5100   |                 209.5097   |    100 | 2.87e+07  | D    |    95550.51      -    143265.83     | 3s.3d                 | 3D      | 2   | 3s.7f                 | 3F*     | 2    |   5 - 5   |    |          T6298c4,LS |       L4575  |
Al II     |                 209.5140   |                 209.5138   |    200 | 1.55e+08  | C+   |    95551.44      -    143265.83     | 3s.3d                 | 3D      | 1   | 3s.7f                 | 3F*     | 2    |   3 - 5   |    |          T6298c4,LS |       L4575  |
          |                            |                            |        |           |      |                                     |                       |         |     |                       |         |      |           |    |                     |              |
Al I      |                 209.662    |                 209.661    |    g,a |           |      |      112.061     -     47793.0      | 3s2.3p                | 2P*     | 3/2 | 3s2.15d               | 2D      | 5/2  |   4 - 6   |    |                     |  L130,L7413  |
Al I      |                 209.875    |                 209.874    |    g,a |           |      |        0.000     -     47632.6      | 3s2.3p                | 2P*     | 1/2 | 3s2.13d               | 2D      | 3/2  |   2 - 4   |    |                     |  L130,L7413  |
Al I      |                 209.910    |                 209.90558  |    g,a |           |      |      112.061     -    [47737.41]    | 3s2.3p                | 2P*     | 3/2 | 3s2.16s               | 2S      | 1/2  |   4 - 2   |    |                     |        L130  |
Al II     |                 209.9709   |                 209.9706   |     80 |           |      |    95350.60      -    142961.20     | 3s.4s                 | 1S      | 0   | 3s.8p                 | 1P*     | 1    |   1 - 3   |    |                     |       L4575  |
Al I      |                 209.979    |                 209.977    |    g,a |           |      |      112.061     -     47721.3      | 3s2.3p                | 2P*     | 3/2 | 3s2.14d               | 2D      | 5/2  |   4 - 6   |    |                     |  L130,L7413  |
          |                            |                            |        |           |      |                                     |                       |         |     |                       |         |      |           |    |                     |              |
Al I      |                 210.258    |                 210.25540  |    g,a |           |      |        0.000     -    [47546.12]    | 3s2.3p                | 2P*     | 1/2 | 3s2.14s               | 2S      | 1/2  |   2 - 2   |    |                     |        L130  |
Al I      |                 210.285    |                 210.28017  |    g,a |           |      |      112.061     -    [47652.58]    | 3s2.3p                | 2P*     | 3/2 | 3s2.15s               | 2S      | 1/2  |   4 - 2   |    |                     |        L130  |
Al I      |                 210.366    |                 210.366    |    g,a |           |      |        0.000     -     47521.1      | 3s2.3p                | 2P*     | 1/2 | 3s2.12d               | 2D      | 3/2  |   2 - 4   |    |                     |        L130  |
Al I      |                 210.371    |                 210.369    |    g,a |           |      |      112.061     -     47632.6      | 3s2.3p                | 2P*     | 3/2 | 3s2.13d               | 2D      | 5/2  |   4 - 6   |    |                     |        L130  |
Al I      |                 210.755    |                 210.75218  |    g,a |           |      |      112.061     -    [47546.12]    | 3s2.3p                | 2P*     | 3/2 | 3s2.14s               | 2S      | 1/2  |   4 - 2   |    |                     |        L130  |
          |                            |                            |        |           |      |                                     |                       |         |     |                       |         |      |           |    |                     |              |
Al I      |                 210.862    |                 210.85927  |   g,a* |           |      |        0.000     -    [47409.97]    | 3s2.3p                | 2P*     | 1/2 | 3s2.13s               | 2S      | 1/2  |   2 - 2   |    |                     |  L130,L7413  |
Al I      |                 210.862    |                 210.863    |   g,a* |           |      |      112.061     -     47521.1      | 3s2.3p                | 2P*     | 3/2 | 3s2.12d               | 2D      | 5/2  |   4 - 6   |    |                     |  L130,L7413  |
Al I      |                 211.361    |                 211.35891  |    g,a |           |      |      112.061     -    [47409.97]    | 3s2.3p                | 2P*     | 3/2 | 3s2.13s               | 2S      | 1/2  |   4 - 2   |    |                     |  L130,L7413  |
Al V      |                            |                 211.387    |        | 1.10e+00  | C+   |   796622.4       -    843914        | 2s2.2p4.(1D).3s       | 2D      | 5/2 | 2s2.2p4.(1S).3s       | 2S      | 1/2  |   6 - 2   | E2 |                 c40 |              |
Al V      |                            |                 211.524    |        | 7.31e-01  | C+   |   796652.9       -    843914        | 2s2.2p4.(1D).3s       | 2D      | 3/2 | 2s2.2p4.(1S).3s       | 2S      | 1/2  |   4 - 2   | E2 |                 c40 |              |
          |                            |                            |        |           |      |                                     |                       |         |     |                       |         |      |           |    |                     |              |
Al I      |                 211.656    |                 211.65388  |    g,a |           |      |        0.000     -    [47232.00]    | 3s2.3p                | 2P*     | 1/2 | 3s2.12s               | 2S      | 1/2  |   2 - 2   |    |                     |  L130,L7413  |
Al I      |                 211.8312   |                 211.83160  |    g,a | 1.03e+07  | C    |        0.000     -     47192.38     | 3s2.3p                | 2P*     | 1/2 | 3s2.10d               | 2D      | 3/2  |   2 - 4   |    |          T6527c4,LS |         L99  |
Al I      |                 212.159    |                 212.15730  |    g,a |           |      |      112.061     -    [47232.00]    | 3s2.3p                | 2P*     | 3/2 | 3s2.12s               | 2S      | 1/2  |   4 - 2   |    |                     |  L130,L7413  |
Al I      |                            |                 212.33586  |        | 2.0e+06   | D    |      112.061     -     47192.38     | 3s2.3p                | 2P*     | 3/2 | 3s2.10d               | 2D      | 3/2  |   4 - 4   |    |          T6527c4,LS |              |
Al I      |                 212.3362   |                 212.33586  |     1g | 1.22e+07  | C    |      112.061     -     47192.38     | 3s2.3p                | 2P*     | 3/2 | 3s2.10d               | 2D      | 5/2  |   4 - 6   |    |          T6527c4,LS |       L4737  |
          |                            |                            |        |           |      |                                     |                       |         |     |                       |         |      |           |    |                     |              |
